iter	Logloss
0	0.6821272068
1	0.6735405654
2	0.6622218029
3	0.6533341707
4	0.6457162141
5	0.6359932829
6	0.6268425214
7	0.619226974
8	0.6131466088
9	0.606203412
10	0.6006984693
11	0.594266858
12	0.5866606753
13	0.5818686181
14	0.5774453851
15	0.5734395106
16	0.5691287098
17	0.5633570639
18	0.5594599193
19	0.5551668291
20	0.5507311005
21	0.5473176329
22	0.5438180239
23	0.5398145746
24	0.5361707317
25	0.5333804521
26	0.529839614
27	0.5272620943
28	0.5227660953
29	0.5196945285
30	0.5168444464
31	0.5140195708
32	0.5117431994
33	0.5096663772
34	0.5075282454
35	0.5051307507
36	0.5029972924
37	0.5001873965
38	0.4979401042
39	0.4964349892
40	0.4945160426
41	0.4928458429
42	0.4914619612
43	0.4895139589
44	0.4876900081
45	0.4864329167
46	0.4838305047
47	0.4826255831
48	0.4813819723
49	0.4803030904
50	0.4789248052
51	0.4766931237
52	0.4745952456
53	0.4735070576
54	0.4722105599
55	0.4714207736
56	0.4702833287
57	0.4693459788
58	0.4682625295
59	0.4673814925
60	0.4666746781
61	0.4660473572
62	0.4643935123
63	0.4637084033
64	0.4628841347
65	0.4621134248
66	0.461354679
67	0.460512694
68	0.4597275908
69	0.459359483
70	0.4584711554
71	0.4574423792
72	0.4568485446
73	0.4562545971
74	0.4557396973
75	0.4545038261
76	0.4540245835
77	0.4528700483
78	0.4517810755
79	0.4511059501
80	0.4506815893
81	0.45027358
82	0.4497307379
83	0.4494037444
84	0.4489503083
85	0.4484746276
86	0.4481040088
87	0.4479063831
88	0.4475204709
89	0.4471948117
90	0.4463145632
91	0.4457753909
92	0.4454638943
93	0.4449709454
94	0.4444948103
95	0.4439059221
96	0.4435133002
97	0.4427741119
98	0.442494299
99	0.4420378785
100	0.441760868
101	0.4414424409
102	0.4411107347
103	0.4408347053
104	0.4405445735
105	0.4403009199
106	0.440075545
107	0.4397396669
108	0.4395172964
109	0.4392358032
110	0.4387267988
111	0.4384404647
112	0.4383369806
113	0.4380388557
114	0.4378174567
115	0.4376425913
116	0.4374622928
117	0.4372073419
118	0.4369428842
119	0.4367743161
120	0.4365530324
121	0.4362822007
122	0.4360342241
123	0.4358714473
124	0.435680409
125	0.4351720315
126	0.4350217043
127	0.434818034
128	0.4346622491
129	0.4345658992
130	0.4342015611
131	0.4339865464
132	0.4337776276
133	0.4335419458
134	0.4331057653
135	0.4328400472
136	0.4325534295
137	0.4323627298
138	0.432108472
139	0.432013308
140	0.4319442195
141	0.4317980774
142	0.4316548337
143	0.4315246374
144	0.4313870561
145	0.4312648391
146	0.4311165123
147	0.4310117508
148	0.4309071744
149	0.4307955738
150	0.4306348123
151	0.4304339626
152	0.4303274069
153	0.4302131986
154	0.4301095629
155	0.4298072976
156	0.4296619928
157	0.4295188152
158	0.429382155
159	0.4292692544
160	0.4290391898
161	0.4289152207
162	0.4287978509
163	0.4286875953
164	0.4285531268
165	0.428435787
166	0.4283431928
167	0.4282397386
168	0.4281081443
169	0.4279397826
170	0.4278534627
171	0.4277204748
172	0.4276450381
173	0.4275222093
174	0.4274191476
175	0.4273635274
176	0.4272572307
177	0.4271912735
178	0.4271186843
179	0.4270438605
180	0.4269542591
181	0.4268620065
182	0.4268131475
183	0.4267188665
184	0.4266486479
185	0.4264905471
186	0.4263821775
187	0.426295823
188	0.4261906245
189	0.4259414111
190	0.4258162508
191	0.4257564835
192	0.4256798008
193	0.4256302506
194	0.4255475584
195	0.4254646473
196	0.4253365331
197	0.4252504227
198	0.4251645604
199	0.4250969304
200	0.4250184825
201	0.424974611
202	0.4249071439
203	0.4248496841
204	0.4247581766
205	0.4246161349
206	0.4244891273
207	0.4243979469
208	0.4243512778
209	0.4242610125
210	0.424144863
211	0.4241227408
212	0.4240121389
213	0.4239402295
214	0.4238617696
215	0.4237844162
216	0.4237119952
217	0.423679372
218	0.4235393041
219	0.4234958796
220	0.4234121773
221	0.4233680459
222	0.4233069492
223	0.4232624112
224	0.4232060865
225	0.4231405234
226	0.4230753601
227	0.4229490087
228	0.4228555963
229	0.4228411486
230	0.4227816456
231	0.4227286054
232	0.4226820981
233	0.4226277184
234	0.4225588917
235	0.4225122664
236	0.4224231816
237	0.4223674886
238	0.422321293
239	0.4222803048
240	0.4222449269
241	0.4221577167
242	0.4221185302
243	0.4219877522
244	0.4218328429
245	0.4217216418
246	0.421643049
247	0.4215863884
248	0.421530122
249	0.4214241655
250	0.4213943609
251	0.4213522794
252	0.4212961882
253	0.4212709326
254	0.421193853
255	0.4211709883
256	0.4210919132
257	0.4210560317
258	0.4210180027
259	0.4209768819
260	0.4209420263
261	0.4209065393
262	0.4208630213
263	0.4208236693
264	0.4207896349
265	0.4207651752
266	0.4207346178
267	0.4206506991
268	0.4206053476
269	0.4205659551
270	0.4204980823
271	0.4204450496
272	0.4203859052
273	0.4203210801
274	0.4202191929
275	0.4201835104
276	0.4201640843
277	0.4201373077
278	0.4200913114
279	0.4200256349
280	0.4199947983
281	0.4199628719
282	0.4199194739
283	0.4198628501
284	0.4198467565
285	0.4198181873
286	0.4197214766
287	0.4196873667
288	0.4196585741
289	0.4196245988
290	0.4195915188
291	0.419485116
292	0.4194321292
293	0.4193956325
294	0.4193768577
295	0.4193450886
296	0.419307384
297	0.4192913013
298	0.4192245526
299	0.4191878327
